"","TestY",""
"97086",4985.5,4907.89531497446
"97087",5044.4,4919.05140037229
"97088",5240.9,5152.93548914387
"97089",5546.3,5412.90496596006
"97090",5973.8,5861.65865850158
"97091",6319.7,6370.29533519575
"97092",6711.7,6701.99675971417
"97093",6715.6,6985.20518182601
"97094",6610.6,6832.30625082419
"97095",6452.4,6324.17738565219
"97096",6383.7,6242.58209025435
"97097",6206.7,6236.97826365792
"97098",6032,6093.6112819646
"97099",5906.4,5788.19388867703
"97100",5671.2,5750.57919712021
"97101",5452.3,5492.37000130312
"97102",5289.6,5175.31837414551
"97103",5311.3,5120.8184645185
"97104",5161.9,5293.70289821388
"97105",4947.9,5168.73580361641
"97106",4685.3,4692.72364191585
"97107",4537.1,4444.83944237956
"97108",4348.1,4364.68795897032
"97109",4214.7,4273.35266134205
"97110",4143.4,4085.54448588133
"97111",4058.1,4118.57285643921
"97112",4068.5,4047.07602145299
"97113",4097.3,4070.06798270029
"97114",4121.2,4191.07388948071
"97115",4335.8,4174.37276652691
"97116",4582.6,4483.16399863925
"97117",4997.6,4898.087956307
"97118",5325.7,5333.65109370701
"97119",5559,5722.11100850828
"97120",5852.2,5738.57318150847
"97121",6119.9,6031.30013276322
"97122",6355,6376.93573285384
"97123",6372.7,6539.6097734622
"97124",6235.5,6416.13424410837
"97125",6143.6,6032.67640498123
"97126",5989.3,5958.34992173493
"97127",5925,5887.14741931971
"97128",5827.1,5807.45607569816
"97129",5815.6,5798.52078739496
"97130",5799.9,5769.47259003487
"97131",5883.3,5841.48933579754
"97132",5892.5,5938.46955528416
"97133",5811.8,5987.16109170957
"97134",5747.3,5744.48093222081
"97135",5514.1,5655.54717096668
"97136",5558.1,5381.01035716398
"97137",5827.6,5442.32379197366
"97138",6144.4,6147.35700579229
"97139",6459,6523.36220373698
"97140",6732.5,6751.34988904255
"97141",6745.8,6966.95162652702
"97142",6698.1,6788.63869668125
"97143",6452.7,6512.73494126249
"97144",6322.7,6231.7403458263
"97145",6081.3,6040.43721724628
"97146",5927.2,5925.93649849672
"97147",5776.8,5675.51746970505
"97148",5618.5,5655.9329113819
"97149",5394.5,5454.488826252
"97150",5214.3,5188.43916256299
"97151",5353.7,4991.54751768089
