"","x"
"873",4504.25943313356
"874",4701.12662131926
"875",4833.32184677325
"876",5216.2326349667
"877",5406.15417292473
"878",5741.52639327932
"879",5964.36019647331
"880",5924.59716480237
"881",6159.78391210762
"882",6289.8184930288
"883",6262.33070246524
"884",6367.7359810088
"885",6429.01249640946
"886",6494.41346161223
"887",6633.03151443784
"888",6845.75788974484
"889",6893.33375378204
"890",6984.91164635803
"891",7219.84572564228
"892",7366.30691969194
"893",7409.3644695414
"894",7607.30809220371
"895",7754.68988222574
"896",7959.35185280259
"897",8069.27012743374
"898",7940.33519536555
"899",7868.66042962769
"900",7445.39123419386
"901",7346.7157127075
"902",7000.45487682826
"903",6928.73526816167
"904",6646.42480704897
"905",6507.30504013981
"906",6439.98218889278
"907",6025.2359691493
"908",5577.05887215804
"909",5213.55023369332
"910",5098.64458100097
"911",5093.42800903909
"912",5526.98017611895
"913",5297.4238025602
"914",4921.98396055742
"915",4747.3932542951
"916",4718.74910461445
"917",4614.50754806972
"918",4606.57079110815
"919",4505.90831526731
"920",4554.16299918407
"921",4456.48970655064
"922",4516.90010401094
"923",4660.75114373042
"924",5253.6368878771
"925",5457.0532338495
"926",5809.81307934755
"927",6003.76762279992
"928",5984.37499119449
"929",6180.17169635044
"930",6324.87770596755
"931",6191.91266259247
"932",6233.43103087766
"933",6245.33276090278
"934",6348.95715450721
"935",6323.65428110793
"936",6165.38095562852
"937",6368.77285488607
"938",6478.47972624702
"939",6690.75333101824
"940",6802.81011424589
"941",6772.7945205218
"942",6994.2439304315
"943",7077.39885487181
"944",7113.57160154073
"945",7219.89936439416
"946",7297.67658888664
"947",7045.41441614889
"948",6726.40991113276
"949",6669.27871657772
"950",6446.90801838934
"951",6423.93449854273
"952",6225.2369318361
"953",6208.48817791803
"954",6133.53209388987
"955",5941.22915297754
"956",5490.4475282441
"957",5303.19433250061
"958",5076.00673074579
"959",5143.79039358899
"960",5447.41323801922
"961",5292.46129517089
"962",4813.29844737923
"963",4735.51854467586
"964",4713.84826947787
"965",4480.11772866697
"966",4429.20207146418
"967",4414.56824577784
"968",4550.70467431147
"969",4558.9288424479
"970",4734.9388469532
"971",4831.60578286919
"972",5333.95202895066
"973",5570.69760235489
"974",5917.98324189396
"975",6185.67353821071
"976",6116.92752728582
"977",6376.02147052826
"978",6317.08408480085
"979",6309.83489944433
"980",6297.94652343594
"981",6322.6836126934
"982",6330.12908352457
"983",6328.69618505141
"984",6320.4056604179
"985",6298.11252801638
"986",6323.52405550948
"987",6416.23575846809
"988",6332.92769123484
"989",6502.07061574631
"990",6477.62313002805
"991",6542.52644370502
"992",6463.8884794426
"993",6643.09655156017
"994",6810.92910577137
"995",6811.16426174096
"996",6616.8171304103
"997",6627.41113427732
"998",6410.62414873294
"999",6166.11410370098
"1000",6017.79178496398
"1001",5886.04763914641
"1002",5816.76372577505
"1003",5531.8305438562
"1004",5224.89369078219
"1005",4947.76137953074
"1006",4945.16070375175
"1007",4885.13321174609
"1008",5356.91718461274
"1009",5062.25807956708
"1010",4655.9929402767
"1011",4511.93898884297
"1012",4538.7419969373
"1013",4348.65441529733
"1014",4327.32065783991
"1015",4320.24758504089
"1016",4299.30942361148
"1017",4359.21828880235
"1018",4557.95722416764
"1019",4708.91476908617
"1020",5055.60518513295
"1021",5112.15501649494
"1022",5537.04013095343
"1023",5802.49497118132
"1024",5802.28665603242
"1025",6024.32871620582
"1026",5997.42259196907
"1027",6046.30213850701
"1028",6044.26204778408
"1029",6034.5921939023
"1030",6101.03248202507
"1031",6082.58802011742
"1032",6082.33805523068
"1033",6023.53509852281
"1034",5931.36625142449
"1035",6027.28445823748
"1036",5948.69203232455
"1037",5926.89880720366
"1038",5812.25751476664
"1039",5879.85104929381
"1040",5824.25925631388
"1041",5802.52240916144
"1042",5686.44024137753
"1043",5810.36124184948
"1044",5619.54856157813
"1045",5637.77736294918
"1046",5456.87718274374
"1047",5394.62173811325
"1048",5321.44330947422
"1049",5267.68033922693
"1050",5306.36041486355
"1051",5081.71047238297
"1052",4898.65288748799
"1053",4644.38459754385
"1054",4760.40452918136
"1055",4690.21936989447
"1056",5149.05032714009
"1057",4440.21656214393
"1058",4775.36583746925
"1059",4332.89537809706
"1060",4279.24371164408
"1061",4057.94641923003
"1062",3987.04981379688
"1063",3873.82226246501
"1064",3951.46378557658
"1065",3903.00141179756
"1066",3969.96000456257
"1067",4021.95038078625
"1068",4178.57791712889
"1069",4243.88879312543
"1070",4388.60945195892
"1071",4518.85277168489
"1072",4497.38620254985
"1073",4666.9594677346
"1074",4722.33211504947
"1075",4749.1647942249
"1076",4729.09915476977
"1077",4717.31023562786
"1078",4701.48008468919
"1079",4654.77305942864
"1080",4599.5588658345
"1081",4546.28523393932
"1082",4471.50407720683
"1083",4550.11374470877
"1084",4491.69419669597
"1085",4536.38079828589
"1086",4556.81782678332
"1087",4604.0621895114
"1088",4719.52824030677
"1089",4796.52578784506
"1090",4815.741833045
"1091",4844.4666752206
"1092",4840.92543487754
"1093",4808.75269456117
"1094",4749.08538075274
"1095",4662.06382060854
"1096",4599.8933765042
"1097",4640.97642931086
"1098",4718.42841989133
"1099",4573.77081724144
"1100",4452.98606872712
"1101",4234.29994249234
"1102",4235.66775767935
"1103",4306.08509680755
"1104",4781.39178491549
"1105",4564.10220192929
"1106",4154.19764421838
"1107",4009.83045192965
"1108",3904.58737824849
"1109",3806.08586337958
"1110",3758.57175011286
"1111",3734.29307025917
"1112",3763.63882451736
"1113",3749.25818982106
"1114",3807.95211662836
"1115",3841.98161211266
"1116",3906.38517532861
"1117",3878.79961235813
"1118",3916.33865654576
"1119",4113.44677087533
"1120",4015.5796428139
"1121",4166.29396681697
"1122",4266.76971998101
"1123",4378.05642648882
"1124",4347.51526031234
"1125",4461.07201532051
"1126",4399.75189517825
"1127",4393.67594631409
"1128",4408.34803095526
"1129",4425.13005606902
"1130",4434.70211292538
"1131",4402.9013299622
"1132",4414.72216513732
"1133",4464.22897357498
"1134",4489.68550718944
"1135",4549.36183061881
"1136",4604.0655688051
"1137",4675.33831459263
"1138",4703.0526124832
"1139",4793.27943760855
"1140",4824.39748023638
"1141",4824.27618336787
"1142",4736.69295001569
"1143",4655.5685324056
"1144",4558.06357197037
"1145",4572.43297106832
"1146",4727.67265643179
"1147",4566.64732040699
"1148",4345.60289109416
"1149",4175.96425548955
"1150",4165.92690427053
"1151",4236.23547132303
"1152",4645.31346910298
"1153",4989.14014416239
"1154",3809.87401837602
"1155",3966.79741103881
"1156",3896.30516988659
"1157",3797.12899544333
"1158",3727.93035081317
"1159",3730.28820833751
"1160",3787.18887539525
"1161",3830.07228561927
"1162",3930.73823832244
"1163",4090.76362488719
"1164",4412.40360262283
"1165",4523.08238629849
"1166",4836.43107844039
"1167",4996.97676312427
"1168",4891.12609634149
"1169",4985.56063858372
"1170",5023.32460809448
"1171",4983.83113110887
"1172",5034.57936084997
"1173",5029.63268032032
"1174",5071.13833030105
"1175",5053.27348048457
"1176",5069.59075739325
"1177",5031.12956991045
"1178",5007.2157795514
"1179",5031.0972915334
"1180",5047.16618008344
"1181",5123.48637956347
"1182",5174.40283260662
"1183",5286.87084284615
"1184",5356.12089555009
"1185",5406.50354325225
"1186",5395.47856098085
"1187",5280.17641259467
"1188",5196.95552322307
"1189",5120.28892791827
"1190",5036.99093513171
"1191",4947.6260760923
"1192",4774.81450293201
"1193",4849.66233920129
"1194",4909.14593706082
"1195",4640.14546414213
"1196",4431.99747902556
"1197",4205.82545895674
"1198",4192.11821260932
"1199",4220.268406556
"1200",4658.93125240252
"1201",4535.13834585361
"1202",4065.71960653244
"1203",3940.61042241742
"1204",3845.72412430161
"1205",3809.63803598486
"1206",3707.41916985951
"1207",3662.83409220836
"1208",3760.1359341905
"1209",3739.98559396382
"1210",3811.42714955793
"1211",3737.59455922841
"1212",3899.72611169128
"1213",3847.57141985123
"1214",4028.84646879199
"1215",4152.4126352474
"1216",4048.2707487264
"1217",4205.20634398723
"1218",4252.78980297422
"1219",4365.54688085226
"1220",4451.15080620732
"1221",4487.73516737382
"1222",4629.41888481357
"1223",4647.36302613547
"1224",4661.19505421341
"1225",4718.73339605341
"1226",4747.61321120315
"1227",4933.46300621944
"1228",4912.33531189205
"1229",5111.09087046455
"1230",5243.85150832496
"1231",5398.80901163797
"1232",5537.52715470043
"1233",5659.92137642092
"1234",5709.78160206636
"1235",5713.27204612379
"1236",5624.02028760207
"1237",5580.07602781409
"1238",5409.38298130745
"1239",5225.87923829173
"1240",5116.54122167587
"1241",5151.22611284979
"1242",5107.01972619384
"1243",4915.59581198251
"1244",4682.48812884338
"1245",4482.44558240181
"1246",4455.55860355608
"1247",4470.97433495147
"1248",5015.45633839701
"1249",4804.46156991758
