"","V1"
"96784",6942.71672826715
"96785",7385.00100955908
"96786",7598.05707270548
"96787",7471.52226408856
"96788",7163.83352175726
"96789",6817.09124660812
"96790",6460.6643487328
"96791",5979.86708563253
"96792",5748.5269102658
"96793",5619.63929506025
"96794",5433.50141512141
"96795",5388.76907450915
"96796",5376.88721576666
"96797",5279.88804963302
"96798",5377.51886832371
"96799",5443.68677581767
"96800",5665.46102411564
"96801",5924.09694838046
"96802",6269.37861338396
"96803",6752.28428651651
"96804",7233.56331598252
"96805",7476.73234204107
"96806",7259.6994541747
"96807",7246.17636254394
"96808",7010.65099962311
"96809",6913.73196459849
"96810",6815.42394611282
"96811",6612.29421110368
"96812",6504.84981259096
"96813",6136.88349176843
"96814",5944.03059751339
"96815",5643.52513753968
"96816",5999.19911491069
"96817",5282.73469928239
"96818",5683.72584026887
"96819",5276.08307272095
"96820",5054.92121881901
"96821",4869.97063381672
"96822",4778.91142551156
"96823",4644.01045461175
"96824",4652.70089358719
"96825",4591.28560483721
"96826",4664.02860169886
"96827",4640.96575734174
"96828",4758.46637647934
"96829",4954.49291154646
"96830",5151.48287214001
"96831",5284.98657327274
"96832",5578.30658312368
"96833",5899.31209514132
"96834",6103.13085749816
"96835",6219.92179307908
"96836",6105.40983984485
"96837",5977.77607402032
"96838",5671.3809551724
"96839",5439.11849504557
"96840",5153.2554846863
"96841",5001.27721015067
"96842",4822.4600718833
"96843",4660.32139447859
"96844",4555.13530180765
"96845",4652.40030424928
"96846",4653.48730439411
"96847",4863.85520037777
"96848",5049.66424752065
"96849",5388.85400442674
"96850",5710.27489679197
"96851",6150.05278235001
"96852",6628.1435961762
"96853",6888.22983140004
"96854",6822.31730641317
"96855",6541.43068053667
"96856",6335.61686022661
"96857",6187.09052860778
"96858",6074.49718785845
"96859",5936.14457383057
"96860",5774.29908298818
"96861",5653.31365904417
"96862",5437.72819974515
"96863",5318.35453162794
"96864",5575.90207644324
"96865",5418.29199844313
"96866",5225.14294335597
"96867",5075.50637413585
"96868",5001.927069589
"96869",4724.04174456144
"96870",4586.54877657158
"96871",4459.58155194121
"96872",4456.45612090548
"96873",4317.48235263559
"96874",4366.49283561628
"96875",4386.76131956216
"96876",4520.99706958596
"96877",4568.15306769964
"96878",4673.35724369126
"96879",4688.77127456305
"96880",4871.84959229679
"96881",5175.41337400144
"96882",5318.08012577525
"96883",5282.0988116485
"96884",5174.28313867883
"96885",4952.5849929029
"96886",4651.15000736219
"96887",4357.96553461914
"96888",4089.12704306794
"96889",3913.84967247785
"96890",3847.45852951795
"96891",3900.54095328478
"96892",4154.28387880292
"96893",4375.93848527869
"96894",4602.4514514742
"96895",4762.44875745777
"96896",5075.45346939121
"96897",5373.38853581225
"96898",5576.18130891691
"96899",5937.74318376836
"96900",6314.74306752251
"96901",6618.49032062411
"96902",6496.44504299856
"96903",6364.9291815343
"96904",6188.56284689305
"96905",6049.18279433623
"96906",5888.59213033293
"96907",5752.00935724776
"96908",5544.56464942577
"96909",5218.79170214279
"96910",5020.95022752226
"96911",4830.355319015
"96912",5096.61685447371
"96913",5392.11932659356
"96914",4462.29097731217
"96915",4551.99392152904
