"","V1"
"96930",6733.12878703095
"96931",6656.45712303054
"96932",6567.01472919717
"96933",6451.13137716735
"96934",6199.05633091352
"96935",5941.61835764001
"96936",5656.18636884443
"96937",5301.38840741816
"96938",5019.78573069716
"96939",4860.05576295005
"96940",5011.05619319237
"96941",4971.49447381085
"96942",4993.52819810173
"96943",5111.66417202462
"96944",5407.31408507434
"96945",5650.86143888105
"96946",5954.06980868419
"96947",6358.81824390457
"96948",6819.73534500742
"96949",7211.20244100716
"96950",7102.47406938938
"96951",6914.00592611826
"96952",6692.24385325435
"96953",6549.90627286061
"96954",6333.76334615068
"96955",6096.52415493169
"96956",5903.88934762048
"96957",5610.17360704819
"96958",5209.36721915561
"96959",5068.08796230947
"96960",5304.37047212888
"96961",5124.69273430733
"96962",4929.06346218766
"96963",4787.15229624292
"96964",4640.54235721391
"96965",4546.14944333593
"96966",4415.70669325061
"96967",4367.1968971841
"96968",4398.28309472336
"96969",4371.0414164679
"96970",4392.60010236112
"96971",4549.55495127449
"96972",4840.61096118737
"96973",5073.08404117686
"96974",5625.09560935027
"96975",6148.31832408255
"96976",6495.56008988303
"96977",6813.56646858887
"96978",6628.56871067718
"96979",6695.85011489027
"96980",6516.44634894201
"96981",6346.65980026762
"96982",5911.30323084289
"96983",5711.40642842445
"96984",5521.35545439641
"96985",5476.94341757156
"96986",5563.08534249907
"96987",5562.97457592855
"96988",5589.23957470303
"96989",5584.07797575413
"96990",5510.06251984589
"96991",5497.13896143104
"96992",5693.30000114645
"96993",5967.19341917351
"96994",6390.47872219972
"96995",6750.47188860391
"96996",6944.93468565149
"96997",7360.04118214416
"96998",7085.61088252057
"96999",6926.68039781555
"97000",6648.84333389544
"97001",6452.85206057782
"97002",6219.77308810363
"97003",6007.47449091667
"97004",5872.53016337696
"97005",5510.09535848227
"97006",5270.33837350404
"97007",4998.24223431414
"97008",5280.53438751792
"97009",5142.44125076958
"97010",4930.54064874903
"97011",4733.31143049688
"97012",4591.29969202184
"97013",4353.13736483553
"97014",4308.39731738041
"97015",4211.78064537356
"97016",4208.94224323757
"97017",4168.12394669747
"97018",4196.13906180355
"97019",4308.53678849842
"97020",4510.78229323058
"97021",4818.6013796918
"97022",5380.11734753241
"97023",5847.39884941161
"97024",6250.08290966906
"97025",6595.60365367956
"97026",6561.99639603864
"97027",6833.99437216318
"97028",6702.16977835676
"97029",6359.6063647637
"97030",6523.66538269922
"97031",6448.50456256627
"97032",6374.3985733323
"97033",6452.11230983507
"97034",6392.07663812402
"97035",6204.79522070704
"97036",6152.38696813568
"97037",6065.42269992578
"97038",5852.22229722111
"97039",5778.06871509197
"97040",5852.27582474562
"97041",6043.6115804236
"97042",6420.4239598197
"97043",6785.58230094433
"97044",6984.1411097499
"97045",7295.30987061824
"97046",7140.20818846712
"97047",6896.73183375675
"97048",6628.17717781088
"97049",6426.17028747149
"97050",6309.21431132511
"97051",6088.13336799539
"97052",5819.3950843105
"97053",5540.19943562623
"97054",5179.72960499502
"97055",5104.23092592698
"97056",5375.41847386326
"97057",5121.97227041224
"97058",4861.13878094817
"97059",4711.60801344401
"97060",4460.42162160329
"97061",4310.54744133802
"97062",4302.28430128923
"97063",4214.2937045228
"97064",4097.28380779206
"97065",4014.54800345137
"97066",4178.36739546207
"97067",4283.68634894045
"97068",4578.42286065378
"97069",4816.36881775402
"97070",5410.37777018433
"97071",5805.0157721803
"97072",6201.31556286893
"97073",6541.17393989758
